,borough,x,y,latitude,longitude
135,Barking & Dagenham,545250.7,185089.7,51.546014,0.093325
136,Barking & Dagenham,545263.5,185071.6,51.545848,0.093502
137,Barking & Dagenham,545285.9,185087.3,51.545983,0.093832
138,Barking & Dagenham,545306.7,185100.7,51.546098,0.094137
139,Barking & Dagenham,545323.0,185109.2,51.54617,0.094375
140,Barking & Dagenham,545370.4,185136.4,51.546402,0.09507
141,Barking & Dagenham,545408.8,185159.1,51.546597,0.095632
142,Barking & Dagenham,545458.1,185190.7,51.546868,0.096356
143,Barking & Dagenham,545462.8,185194.6,51.546902,0.096425
144,Barking & Dagenham,545473.1,185205.5,51.546997,0.096578
145,Barking & Dagenham,545508.3,185226.8,51.547179,0.097094
146,Barking & Dagenham,545535.5,185242.5,51.547313,0.097493
147,Barking & Dagenham,545557.4,185261.2,51.547476,0.097816
148,Barking & Dagenham,545567.2,185268.8,51.547541,0.09796
149,Barking & Dagenham,545579.5,185278.3,51.547624,0.098142
150,Barking & Dagenham,545598.9,185292.2,51.547744,0.098427
151,Barking & Dagenham,545627.2,185317.0,51.547959,0.098845
152,Barking & Dagenham,545668.8,185354.7,51.548287,0.09946
153,Barking & Dagenham,545676.5,185361.8,51.548349,0.099574
154,Barking & Dagenham,545687.7,185370.8,51.548427,0.099739
155,Barking & Dagenham,545706.5,185381.8,51.548521,0.100015
156,Barking & Dagenham,545724.1,185392.9,51.548616,0.100273
157,Barking & Dagenham,545754.2,185410.1,51.548763,0.100714
158,Barking & Dagenham,545795.3,185430.0,51.548931,0.101314
159,Barking & Dagenham,545857.5,185463.9,51.54922,0.102225
160,Barking & Dagenham,545877.2,185480.0,51.549359,0.102515
161,Barking & Dagenham,545885.1,185485.5,51.549407,0.102632
162,Barking & Dagenham,545923.5,185500.8,51.549534,0.103191
163,Barking & Dagenham,545953.5,185513.9,51.549644,0.103629
164,Barking & Dagenham,545979.8,185526.1,51.549747,0.104013
165,Barking & Dagenham,545994.3,185533.2,51.549807,0.104225
166,Barking & Dagenham,546008.5,185545.7,51.549916,0.104435
167,Barking & Dagenham,546017.9,185552.7,51.549976,0.104573
168,Barking & Dagenham,546032.0,185564.4,51.550078,0.104781
169,Barking & Dagenham,546052.0,185581.2,51.550223,0.105077
170,Barking & Dagenham,546064.8,185593.2,51.550328,0.105266
171,Barking & Dagenham,546075.7,185606.5,51.550444,0.105429
172,Barking & Dagenham,546096.2,185634.0,51.550686,0.105736
173,Barking & Dagenham,546114.6,185654.8,51.550868,0.106009
174,Barking & Dagenham,546126.3,185665.1,51.550958,0.106182
175,Barking & Dagenham,546152.2,185704.7,51.551307,0.106572
176,Barking & Dagenham,546193.5,185761.8,51.551809,0.107191
177,Barking & Dagenham,546201.3,185774.9,51.551925,0.107309
178,Barking & Dagenham,546206.4,185781.3,51.551981,0.107385
179,Barking & Dagenham,546209.4,185783.6,51.552001,0.107429
180,Barking & Dagenham,546219.3,185787.7,51.552035,0.107574
181,Barking & Dagenham,546232.0,185793.6,51.552085,0.107759
182,Barking & Dagenham,546248.8,185792.6,51.552072,0.108001
183,Barking & Dagenham,546254.8,185792.2,51.552067,0.108087
184,Barking & Dagenham,546257.4,185792.2,51.552066,0.108125
185,Barking & Dagenham,546267.5,185791.5,51.552057,0.10827
186,Barking & Dagenham,546274.6,185863.1,51.552699,0.108402
187,Barking & Dagenham,546372.9,185854.1,51.552592,0.109815
188,Barking & Dagenham,546462.7,185844.4,51.552482,0.111105
189,Barking & Dagenham,546518.0,185866.0,51.552662,0.111911
190,Barking & Dagenham,546547.6,185904.4,51.552999,0.112354
191,Barking & Dagenham,546544.2,185958.0,51.553481,0.112327
192,Barking & Dagenham,546546.3,185960.8,51.553506,0.112359
193,Barking & Dagenham,546546.3,185961.4,51.553511,0.112359
194,Barking & Dagenham,546569.8,185991.6,51.553777,0.11271
195,Barking & Dagenham,546703.9,186166.9,51.555317,0.114716
196,Barking & Dagenham,546704.7,186167.9,51.555326,0.114728
197,Barking & Dagenham,546665.9,186198.3,51.555609,0.114181
198,Barking & Dagenham,546664.4,186199.4,51.555619,0.11416
199,Barking & Dagenham,546660.0,186221.0,51.555814,0.114106
200,Barking & Dagenham,546659.9,186221.8,51.555822,0.114105
201,Barking & Dagenham,546562.0,186296.6,51.556519,0.112725
202,Barking & Dagenham,546589.8,186332.0,51.55683,0.11314
203,Barking & Dagenham,546601.3,186386.6,51.557318,0.113329
204,Barking & Dagenham,546867.7,186347.0,51.556893,0.117152
205,Barking & Dagenham,546864.8,186402.0,51.557388,0.117133
206,Barking & Dagenham,546924.6,186403.8,51.557388,0.117996
207,Barking & Dagenham,546930.4,186399.2,51.557345,0.118078
208,Barking & Dagenham,546990.0,186401.2,51.557348,0.118938
209,Barking & Dagenham,547093.6,186537.0,51.558541,0.120488
210,Barking & Dagenham,546983.3,186561.9,51.558793,0.118908
211,Barking & Dagenham,546936.4,186575.0,51.558923,0.118238
212,Barking & Dagenham,546907.2,186586.2,51.559032,0.117821
213,Barking & Dagenham,546883.1,186600.1,51.559163,0.11748
214,Barking & Dagenham,546961.9,186801.3,51.56095,0.1187
215,Barking & Dagenham,547029.8,186974.9,51.562492,0.119751
216,Barking & Dagenham,546968.2,186999.6,51.56273,0.118873
217,Barking & Dagenham,546978.2,187037.1,51.563065,0.119033
218,Barking & Dagenham,546997.2,187045.6,51.563136,0.119311
219,Barking & Dagenham,547010.2,187052.6,51.563196,0.119501
220,Barking & Dagenham,547019.7,187057.1,51.563233,0.11964
221,Barking & Dagenham,547041.2,187063.6,51.563286,0.119952
222,Barking & Dagenham,547369.4,187174.5,51.564197,0.12473
223,Barking & Dagenham,547386.9,187191.0,51.564341,0.12499
224,Barking & Dagenham,547409.3,187209.7,51.564503,0.12532
225,Barking & Dagenham,547422.1,187221.3,51.564604,0.12551
226,Barking & Dagenham,547434.8,187237.8,51.564749,0.1257
227,Barking & Dagenham,547453.6,187258.1,51.564926,0.125979
228,Barking & Dagenham,547484.8,187284.1,51.565152,0.12644
229,Barking & Dagenham,547498.9,187299.2,51.565284,0.12665
230,Barking & Dagenham,547514.2,187320.9,51.565475,0.126879
231,Barking & Dagenham,547526.7,187341.0,51.565652,0.127068
232,Barking & Dagenham,547541.2,187368.3,51.565894,0.127288
233,Barking & Dagenham,547552.1,187384.7,51.566038,0.127452
234,Barking & Dagenham,547563.5,187396.4,51.56614,0.127622
235,Barking & Dagenham,547586.2,187414.7,51.566299,0.127957
236,Barking & Dagenham,547603.5,187423.1,51.56637,0.12821
237,Barking & Dagenham,547620.1,187430.3,51.56643,0.128452
238,Barking & Dagenham,547630.7,187432.7,51.566449,0.128606
239,Barking & Dagenham,547641.6,187434.8,51.566465,0.128764
240,Barking & Dagenham,547678.9,187437.2,51.566477,0.129302
241,Barking & Dagenham,547679.7,187443.3,51.566531,0.129317
242,Barking & Dagenham,547681.3,187454.1,51.566628,0.129344
243,Barking & Dagenham,547683.7,187455.7,51.566642,0.129379
244,Barking & Dagenham,547691.0,187479.6,51.566854,0.129495
245,Barking & Dagenham,547699.1,187542.1,51.567414,0.129638
246,Barking & Dagenham,547704.5,187576.1,51.567718,0.12973
247,Barking & Dagenham,547704.0,187581.3,51.567765,0.129725
248,Barking & Dagenham,547703.3,187589.6,51.56784,0.129718
249,Barking & Dagenham,547699.6,187618.6,51.568101,0.129677
250,Barking & Dagenham,547697.7,187627.0,51.568177,0.129653
251,Barking & Dagenham,547693.4,187649.9,51.568384,0.129601
252,Barking & Dagenham,547693.6,187677.3,51.56863,0.129615
253,Barking & Dagenham,547697.9,187698.8,51.568822,0.129686
254,Barking & Dagenham,547705.7,187721.4,51.569023,0.129808
255,Barking & Dagenham,547721.3,187757.7,51.569345,0.130048
